gene	transcript	chr	strand	txStart	txStop	cdsStart	cdsStop	exonCount	exonStarts	exonStops	start	stop	score
RNU6-2	NR_125730	chr15	-	68132276	68132383	68132383	68132383	1	68132276,	68132383,	68132276	68132383	1000
RBMY1D	NM_001320949	chrY	+	23673223	23687672	23675236	23687394	11	23673223,23675232,23675819,23678942,23681035,23683198,23684268,23684820,23685365,23686595,23687095,	23673371,23675345,23675923,23679120,23681188,23683313,23684379,23684931,23685476,23686684,23687672,	23673223	23687672	1000
VCY	NM_004679	chrY	+	16168097	16168838	16168169	16168739	2	16168097,16168463,	16168271,16168838,	16168097	16168838	1000
BPY2	NM_004678	chrY	+	25130409	25151610	25138490	25144415	9	25130409,25130715,25133903,25138449,25140627,25143598,25144396,25151071,25151290,	25130440,25130838,25134040,25138568,25140745,25143704,25144521,25151196,25151610,	25130409	25151610	1000
BPY2	NM_004678	chrY	+	26764150	26785352	26772231	26778157	9	26764150,26764456,26767644,26772190,26774368,26777340,26778138,26784813,26785032,	26764181,26764579,26767781,26772309,26774486,26777446,26778263,26784938,26785352,	26764150	26785352	1000
RGPD2	NM_001078170	chr2	+	87140934	87239861	87140972	87239670	23	87140934,87178418,87180064,87180620,87184828,87185404,87190151,87196350,87198869,87201195,87201460,87201803,87202850,87203275,87203675,87204702,87204970,87208205,87211876,87212698,87221963,87224685,87239635,	87141044,87178483,87180176,87180773,87185059,87185550,87190347,87196438,87199079,87201377,87201636,87201927,87203009,87203413,87203822,87204882,87205054,87208323,87211971,87214922,87222103,87224881,87239861,	87140934	87239861	1000
LOC727751	NR_102747	chr15	+	82944749	82976258	82976258	82976258	6	82944749,82970154,82970613,82970796,82972121,82973923,	82945079,82970256,82970704,82970951,82972259,82976258,	82944749	82976258	1000
LOC727751	NR_102748	chr15	+	82944749	82976258	82976258	82976258	6	82944749,82970154,82970613,82970796,82972121,82974255,	82945029,82970343,82970704,82970951,82972259,82976258,	82944749	82976258	1000
LOC727751	NR_102747	chr15	-	83140203	83182973	83182973	83182973	6	83140203,83144202,83145510,83145757,83146205,83182643,	83142538,83144340,83145665,83145848,83146307,83182973,	83140203	83182973	1000
LOC727751	NR_102748	chr15	-	83140203	83182973	83182973	83182973	6	83140203,83144202,83145510,83145757,83146118,83182693,	83142206,83144340,83145665,83145848,83146307,83182973,	83140203	83182973	1000
MIR1302-2	NR_036051	chr15	-	102500661	102500799	102500799	102500799	1	102500661,	102500799,	102500661	102500799	1000
MIR1302-9	NR_036266	chr15	-	102500661	102500799	102500799	102500799	1	102500661,	102500799,	102500661	102500799	1000
MIR1302-10	NR_036267	chr15	-	102500661	102500799	102500799	102500799	1	102500661,	102500799,	102500661	102500799	1000
MIR1302-11	NR_036268	chr15	-	102500661	102500799	102500799	102500799	1	102500661,	102500799,	102500661	102500799	1000
MIR6859-1	NR_106918	chr15	+	102513726	102513794	102513794	102513794	1	102513726,	102513794,	102513726	102513794	1000
MIR6859-2	NR_107062	chr15	+	102513726	102513794	102513794	102513794	1	102513726,	102513794,	102513726	102513794	1000
MIR6859-3	NR_107063	chr15	+	102513726	102513794	102513794	102513794	1	102513726,	102513794,	102513726	102513794	1000
MIR6859-4	NR_128720	chr15	+	102513726	102513794	102513794	102513794	1	102513726,	102513794,	102513726	102513794	1000
LOC102725121	NR_148357	chr15	-	102516807	102519301	102519301	102519301	3	102516807,102518448,102518942,	102517949,102518557,102519301,	102516807	102519301	1000
MIR6859-1	NR_106918	chr16	-	67051	67119	67119	67119	1	67051,	67119,	67051	67119	1000
MIR6859-2	NR_107062	chr16	-	67051	67119	67119	67119	1	67051,	67119,	67051	67119	1000
MIR6859-3	NR_107063	chr16	-	67051	67119	67119	67119	1	67051,	67119,	67051	67119	1000
MIR6859-4	NR_128720	chr16	-	67051	67119	67119	67119	1	67051,	67119,	67051	67119	1000
CD99	NM_001321370	chrY	+	2559173	2609350	2559401	2608845	9	2559173,2582462,2585645,2587701,2588396,2590667,2594300,2606240,2608819,	2559468,2582495,2585693,2587746,2588465,2590715,2594414,2606297,2609350,	2559173	2609350	1000
CD99	NM_001321369	chrX	+	2609173	2659350	2609401	2658845	9	2609173,2632462,2637701,2638396,2640667,2641354,2644300,2656243,2658819,	2609468,2632495,2637746,2638465,2640715,2641405,2644414,2656297,2659350,	2609173	2659350	1000
CD99	NM_001321369	chrY	+	2559173	2609350	2559401	2608845	9	2559173,2582462,2587701,2588396,2590667,2591354,2594300,2606243,2608819,	2559468,2582495,2587746,2588465,2590715,2591405,2594414,2606297,2609350,	2559173	2609350	1000
MIR3179-1	NR_036140	chr16	+	14995364	14995448	14995448	14995448	1	14995364,	14995448,	14995364	14995448	1000
MIR3179-2	NR_036143	chr16	+	14995364	14995448	14995448	14995448	1	14995364,	14995448,	14995364	14995448	1000
MIR3179-3	NR_036145	chr16	+	14995364	14995448	14995448	14995448	1	14995364,	14995448,	14995364	14995448	1000
MIR3179-4	NR_128709	chr16	+	14995364	14995448	14995448	14995448	1	14995364,	14995448,	14995364	14995448	1000
MIR3670-1	NR_037442	chr16	+	15001573	15001638	15001638	15001638	1	15001573,	15001638,	15001573	15001638	1000
MIR3670-2	NR_049832	chr16	+	15001573	15001638	15001638	15001638	1	15001573,	15001638,	15001573	15001638	1000
MIR3670-3	NR_128712	chr16	+	15001573	15001638	15001638	15001638	1	15001573,	15001638,	15001573	15001638	1000
MIR3670-4	NR_128713	chr16	+	15001573	15001638	15001638	15001638	1	15001573,	15001638,	15001573	15001638	1000
MIR3180-1	NR_036141	chr16	+	15005076	15005170	15005170	15005170	1	15005076,	15005170,	15005076	15005170	1000
MIR3180-3	NR_036144	chr16	+	15005076	15005170	15005170	15005170	1	15005076,	15005170,	15005076	15005170	1000
MIR3180-2	NR_036142	chr16	+	15005080	15005168	15005168	15005168	1	15005080,	15005168,	15005080	15005168	1000
LOC100288162	NR_103772	chr16	-	15019606	15021140	15021140	15021140	3	15019606,15019877,15020904,	15019639,15020684,15021140,	15019606	15021140	1000
MIR6511A1	NR_106766	chr16	+	15019793	15019860	15019860	15019860	1	15019793,	15019860,	15019793	15019860	1000
MIR6511A2	NR_106969	chr16	+	15019793	15019860	15019860	15019860	1	15019793,	15019860,	15019793	15019860	1000
MIR6511A3	NR_106970	chr16	+	15019793	15019860	15019860	15019860	1	15019793,	15019860,	15019793	15019860	1000
MIR6511A4	NR_106971	chr16	+	15019793	15019860	15019860	15019860	1	15019793,	15019860,	15019793	15019860	1000
MIR6770-1	NR_106828	chr16	+	15024676	15024736	15024736	15024736	1	15024676,	15024736,	15024676	15024736	1000
MIR6770-2	NR_107060	chr16	+	15024676	15024736	15024736	15024736	1	15024676,	15024736,	15024676	15024736	1000
MIR6770-3	NR_107061	chr16	+	15024676	15024736	15024736	15024736	1	15024676,	15024736,	15024676	15024736	1000
DAZ4	NM_020420	chrY	+	25365580	25437503	25365887	25431648	17	25365580,25372490,25372911,25373563,25374051,25374204,25375744,25378187,25380578,25387752,25390136,25392532,25394909,25426159,25426975,25431584,25435646,	25365890,25372637,25373003,25373615,25374115,25374344,25375816,25378259,25380650,25387824,25390208,25392604,25394981,25426231,25427010,25431683,25437503,	25365580	25437503	1000
DAZ4	NM_020420	chrY	-	26909215	26959639	26915080	26959332	17	26909215,26915045,26919716,26920496,26930283,26932660,26935040,26942173,26944569,26946959,26949402,26950874,26951103,26951603,26952215,26952581,26959329,	26911072,26915144,26919751,26920568,26930355,26932732,26935112,26942245,26944641,26947031,26949474,26951014,26951167,26951655,26952307,26952728,26959639,	26909215	26959639	1000
MIR3179-1	NR_036140	chr16	+	16394015	16394099	16394099	16394099	1	16394015,	16394099,	16394015	16394099	1000
MIR3179-2	NR_036143	chr16	+	16394015	16394099	16394099	16394099	1	16394015,	16394099,	16394015	16394099	1000
MIR3179-3	NR_036145	chr16	+	16394015	16394099	16394099	16394099	1	16394015,	16394099,	16394015	16394099	1000
MIR3179-4	NR_128709	chr16	+	16394015	16394099	16394099	16394099	1	16394015,	16394099,	16394015	16394099	1000
MIR3670-1	NR_037442	chr16	+	16400226	16400291	16400291	16400291	1	16400226,	16400291,	16400226	16400291	1000
MIR3670-2	NR_049832	chr16	+	16400226	16400291	16400291	16400291	1	16400226,	16400291,	16400226	16400291	1000
MIR3670-3	NR_128712	chr16	+	16400226	16400291	16400291	16400291	1	16400226,	16400291,	16400226	16400291	1000
MIR3670-4	NR_128713	chr16	+	16400226	16400291	16400291	16400291	1	16400226,	16400291,	16400226	16400291	1000
MIR3180-1	NR_036141	chr16	+	16403731	16403825	16403825	16403825	1	16403731,	16403825,	16403731	16403825	1000
MIR3180-3	NR_036144	chr16	+	16403731	16403825	16403825	16403825	1	16403731,	16403825,	16403731	16403825	1000
MIR3180-2	NR_036142	chr16	+	16403735	16403823	16403823	16403823	1	16403735,	16403823,	16403735	16403823	1000
PKD1P4-NPIPA8	NR_146336	chr16	+	16410078	16487829	16487829	16487829	35	16410078,16410240,16410580,16410962,16411752,16412407,16412779,16413305,16413787,16414508,16416162,16416390,16416484,16417012,16418240,16418511,16418884,16419164,16419714,16420721,16464894,16465806,16466143,16466520,16468207,16468464,16468702,16469003,16477520,16481255,16481518,16484623,16485747,16485917,16487312,	16410119,16410312,16410750,16411634,16411936,16412591,16412895,16413432,16414035,16415264,16416294,16416408,16416660,16417146,16418384,16418791,16419098,16419324,16419867,16420866,16465515,16465963,16466396,16466716,16468378,16468608,16468913,16469130,16477649,16481355,16481663,16484731,16485808,16485953,16487829,	16410078	16487829	1000
LOC100288162	NR_103772	chr16	-	16418257	16419791	16419791	16419791	3	16418257,16418528,16419555,	16418290,16419335,16419791,	16418257	16419791	1000
MIR6511A1	NR_106766	chr16	+	16418444	16418511	16418511	16418511	1	16418444,	16418511,	16418444	16418511	1000
MIR6511A2	NR_106969	chr16	+	16418444	16418511	16418511	16418511	1	16418444,	16418511,	16418444	16418511	1000
MIR6511A3	NR_106970	chr16	+	16418444	16418511	16418511	16418511	1	16418444,	16418511,	16418444	16418511	1000
MIR6511A4	NR_106971	chr16	+	16418444	16418511	16418511	16418511	1	16418444,	16418511,	16418444	16418511	1000
MIR6770-1	NR_106828	chr16	+	16423161	16423221	16423221	16423221	1	16423161,	16423221,	16423161	16423221	1000
MIR6770-2	NR_107060	chr16	+	16423161	16423221	16423221	16423221	1	16423161,	16423221,	16423161	16423221	1000
MIR6770-3	NR_107061	chr16	+	16423161	16423221	16423221	16423221	1	16423161,	16423221,	16423161	16423221	1000
MIR6511A1	NR_106766	chr16	+	16462732	16462799	16462799	16462799	1	16462732,	16462799,	16462732	16462799	1000
MIR6511A2	NR_106969	chr16	+	16462732	16462799	16462799	16462799	1	16462732,	16462799,	16462732	16462799	1000
MIR6511A3	NR_106970	chr16	+	16462732	16462799	16462799	16462799	1	16462732,	16462799,	16462732	16462799	1000
MIR6511A4	NR_106971	chr16	+	16462732	16462799	16462799	16462799	1	16462732,	16462799,	16462732	16462799	1000
PKD1P4-NPIPA8	NR_146336	chr16	-	18411775	18446302	18446302	18446302	35	18411775,18413651,18413796,18414873,18417947,18418255,18421970,18430490,18430707,18431012,18431242,18432904,18433224,18433657,18434105,18435478,18436513,18437056,18437282,18437589,18437996,18439234,18439720,18439972,18440086,18441116,18442345,18442948,18443485,18443789,18444444,18444746,18445630,18446068,18446261,	18412292,18413687,18413857,18414981,18418092,18418355,18422099,18430617,18430918,18431156,18431413,18433100,18433477,18433814,18434726,18435623,18436666,18437216,18437496,18437869,18438140,18439368,18439896,18439990,18440218,18441872,18442593,18443075,18443601,18443973,18444628,18445418,18445800,18446140,18446302,	18411775	18446302	1000
LOC100288162	NR_103772	chr16	+	18436589	18438123	18438123	18438123	3	18436589,18437045,18438090,	18436825,18437852,18438123,	18436589	18438123	1000
MIR6511A1	NR_106766	chr16	-	18437869	18437936	18437936	18437936	1	18437869,	18437936,	18437869	18437936	1000
MIR6511A2	NR_106969	chr16	-	18437869	18437936	18437936	18437936	1	18437869,	18437936,	18437869	18437936	1000
MIR6511A3	NR_106970	chr16	-	18437869	18437936	18437936	18437936	1	18437869,	18437936,	18437869	18437936	1000
MIR6511A4	NR_106971	chr16	-	18437869	18437936	18437936	18437936	1	18437869,	18437936,	18437869	18437936	1000
MIR6770-1	NR_106828	chr16	-	18473207	18473267	18473267	18473267	1	18473207,	18473267,	18473207	18473267	1000
MIR6770-2	NR_107060	chr16	-	18473207	18473267	18473267	18473267	1	18473207,	18473267,	18473207	18473267	1000
MIR6770-3	NR_107061	chr16	-	18473207	18473267	18473267	18473267	1	18473207,	18473267,	18473207	18473267	1000
MIR3180-1	NR_036141	chr16	-	18496034	18496128	18496128	18496128	1	18496034,	18496128,	18496034	18496128	1000
MIR3180-3	NR_036144	chr16	-	18496034	18496128	18496128	18496128	1	18496034,	18496128,	18496034	18496128	1000
MIR3180-2	NR_036142	chr16	-	18496036	18496124	18496124	18496124	1	18496036,	18496124,	18496036	18496124	1000
MIR3670-1	NR_037442	chr16	-	18499554	18499619	18499619	18499619	1	18499554,	18499619,	18499554	18499619	1000
MIR3670-2	NR_049832	chr16	-	18499554	18499619	18499619	18499619	1	18499554,	18499619,	18499554	18499619	1000
MIR3670-3	NR_128712	chr16	-	18499554	18499619	18499619	18499619	1	18499554,	18499619,	18499554	18499619	1000
MIR3670-4	NR_128713	chr16	-	18499554	18499619	18499619	18499619	1	18499554,	18499619,	18499554	18499619	1000
MIR3179-1	NR_036140	chr16	-	18505750	18505834	18505834	18505834	1	18505750,	18505834,	18505750	18505834	1000
MIR3179-2	NR_036143	chr16	-	18505750	18505834	18505834	18505834	1	18505750,	18505834,	18505750	18505834	1000
MIR3179-3	NR_036145	chr16	-	18505750	18505834	18505834	18505834	1	18505750,	18505834,	18505750	18505834	1000
MIR3179-4	NR_128709	chr16	-	18505750	18505834	18505834	18505834	1	18505750,	18505834,	18505750	18505834	1000
PPIAL4C	NM_001135789	chr1	+	149553002	149553787	149553077	149553572	1	149553002,	149553787,	149553002	149553787	1000
CSF2RA	NR_027760	chrY	+	1337692	1378828	1378828	1378828	12	1337692,1343647,1351570,1354670,1357411,1357651,1359229,1363220,1364319,1372815,1374338,1378294,	1337772,1343735,1351672,1354813,1357535,1357781,1359402,1363354,1364349,1372912,1374420,1378828,	1337692	1378828	1000
HSFY1	NR_003510	chrY	+	20708576	20750849	20750849	20750849	6	20708576,20711999,20712668,20713802,20744558,20750421,	20709186,20712109,20712755,20713957,20744644,20750849,	20708576	20750849	1000
MIR6862-1	NR_106922	chr16	-	28402302	28402372	28402372	28402372	1	28402302,	28402372,	28402302	28402372	1000
MIR6862-2	NR_107058	chr16	-	28402302	28402372	28402372	28402372	1	28402302,	28402372,	28402302	28402372	1000
MIR6862-1	NR_106922	chr16	+	28735572	28735642	28735642	28735642	1	28735572,	28735642,	28735572	28735642	1000
MIR6862-2	NR_107058	chr16	+	28735572	28735642	28735642	28735642	1	28735572,	28735642,	28735572	28735642	1000
TP53TG3	NR_110886	chr16	-	32684848	32687450	32687450	32687450	4	32684848,32686097,32686784,32687056,	32685885,32686386,32686951,32687450,	32684848	32687450	1000
TP53TG3B	NR_110897	chr16	-	32684848	32687450	32687450	32687450	4	32684848,32686097,32686784,32687056,	32685885,32686386,32686951,32687450,	32684848	32687450	1000
TP53TG3	NR_110910	chr16	-	32684848	32687450	32687450	32687450	3	32684848,32686097,32687056,	32685885,32686386,32687450,	32684848	32687450	1000
TP53TG3B	NR_110911	chr16	-	32684848	32687450	32687450	32687450	3	32684848,32686097,32687056,	32685885,32686386,32687450,	32684848	32687450	1000
TP53TG3C	NR_110914	chr16	-	32685408	32687448	32687448	32687448	3	32685408,32686097,32687056,	32685885,32686386,32687448,	32685408	32687448	1000
TP53TG3	NR_110886	chr16	+	33205582	33208179	33208179	33208179	4	33205582,33206081,33206646,33207147,	33205976,33206248,33206935,33208179,	33205582	33208179	1000
TP53TG3B	NR_110897	chr16	+	33205582	33208179	33208179	33208179	4	33205582,33206081,33206646,33207147,	33205976,33206248,33206935,33208179,	33205582	33208179	1000
TP53TG3	NR_110910	chr16	+	33205582	33208179	33208179	33208179	3	33205582,33206646,33207147,	33205976,33206935,33208179,	33205582	33208179	1000
TP53TG3B	NR_110911	chr16	+	33205582	33208179	33208179	33208179	3	33205582,33206646,33207147,	33205976,33206935,33208179,	33205582	33208179	1000
TP53TG3C	NR_110914	chr16	+	33205584	33207624	33207624	33207624	3	33205584,33206646,33207147,	33205976,33206935,33207624,	33205584	33207624	1000
TP53TG3	NR_110886	chr16	+	33262117	33264719	33264719	33264719	4	33262117,33262616,33263181,33263682,	33262511,33262783,33263470,33264719,	33262117	33264719	1000
TP53TG3B	NR_110897	chr16	+	33262117	33264719	33264719	33264719	4	33262117,33262616,33263181,33263682,	33262511,33262783,33263470,33264719,	33262117	33264719	1000
TP53TG3	NR_110910	chr16	+	33262117	33264719	33264719	33264719	3	33262117,33263181,33263682,	33262511,33263470,33264719,	33262117	33264719	1000
TP53TG3B	NR_110911	chr16	+	33262117	33264719	33264719	33264719	3	33262117,33263181,33263682,	33262511,33263470,33264719,	33262117	33264719	1000
TP53TG3C	NR_110914	chr16	+	33262119	33264159	33264159	33264159	3	33262119,33263181,33263682,	33262511,33263470,33264159,	33262119	33264159	1000
MIR5095	NR_039970	chr16	+	48344528	48658037	48658037	48658037	5	48344528,48447860,48609269,48643973,48658009,	48344551,48447874,48609280,48643982,48658037,	48344528	48658037	1000
MIR4426	NR_039624	chr16	-	61089610	61089670	61089670	61089670	1	61089610,	61089670,	61089610	61089670	1000
MIR7641-2	NR_106988	chr16	+	68776418	68776474	68776474	68776474	1	68776418,	68776474,	68776418	68776474	1000
ZBED1	NM_004729	chrX	-	2404454	2419008	2406675	2408760	2	2404454,2418857,	2408810,2419008,	2404454	2419008	1000
RIMBP3B	NM_001128635	chr22	-	21899957	21905373	21900345	21905265	1	21899957,	21905373,	21899957	21905373	1000
RIMBP3C	NM_001128633	chr22	+	21737662	21743455	21738147	21743067	1	21737662,	21743455,	21737662	21743455	1000
RIMBP3C	NM_001128633	chr22	-	21899957	21905750	21900345	21905265	1	21899957,	21905750,	21899957	21905750	1000
FAM236C	NM_001351111	chrX	+	72132452	72133238	72132552	72133115	3	72132452,72132757,72133087,	72132588,72132933,72133238,	72132452	72133238	1000
ASMT	NM_001171039	chrY	+	1684025	1711974	1684092	1711907	7	1684025,1692031,1693161,1696595,1698713,1705330,1711695,	1684161,1692206,1693291,1696664,1698832,1705453,1711974,	1684025	1711974	1000
FAM157B	NR_146178	chr16	+	90168466	90223479	90223479	90223479	16	90168466,90168698,90169036,90170419,90172566,90182695,90195030,90196204,90199626,90200726,90202949,90204093,90210212,90213055,90215343,90222545,	90168689,90168850,90169155,90170489,90173113,90182891,90195140,90196336,90199842,90200792,90203008,90204624,90210294,90213120,90215533,90223479,	90168466	90223479	1000
FAM156A	NM_001242493	chrX	-	52976463	53024651	52977154	52977796	5	52976463,52984351,52985470,52986285,53024593,	52977913,52984444,52985544,52986436,53024651,	52976463	53024651	1000
FAM156A	NM_001242492	chrX	-	52976463	53024651	52977154	52977796	5	52976463,52984351,52985470,52993270,53024484,	52977913,52984441,52985544,52993422,53024651,	52976463	53024651	1000
SNORA59B	NR_003022	chr17	+	19460872	19461024	19461024	19461024	1	19460872,	19461024,	19460872	19461024	1000
SNORA59A	NR_003025	chr17	+	19460872	19461024	19461024	19461024	1	19460872,	19461024,	19460872	19461024	1000
FAM156A	NM_014138	chrX	-	52976463	53024651	52977154	52977796	5	52976463,52984351,52985470,52986285,53024593,	52977913,52984444,52985953,52986436,53024651,	52976463	53024651	1000
DEFB103B	NM_018661	chr8	-	7286415	7287870	7286505	7287652	2	7286415,7287594,	7286651,7287870,	7286415	7287870	1000
DEFB103B	NM_018661	chr8	+	7738725	7740180	7738943	7740090	2	7738725,7739944,	7739001,7740180,	7738725	7740180	1000
SPANXA1	NM_013453	chrX	-	140671795	140672860	140671859	140672800	2	140671795,140672728,	140672081,140672860,	140671795	140672860	1000
SPANXA1	NM_013453	chrX	+	140677834	140678899	140677894	140678835	2	140677834,140678613,	140677966,140678899,	140677834	140678899	1000
EIF3C	NM_003752	chr16	-	28390902	28415209	28391118	28414939	22	28390902,28391296,28391612,28391788,28391952,28394438,28399378,28399828,28401611,28401840,28402160,28403072,28403300,28403355,28411191,28411697,28411935,28412179,28412527,28412859,28414838,28415107,	28391201,28391459,28391700,28391854,28392112,28394802,28399603,28400019,28401705,28401966,28402302,28403176,28403352,28403463,28411319,28411807,28411990,28412305,28412717,28412925,28414969,28415209,	28390902	28415209	1000
ASMT	NM_004043	chrX	+	1714347	1761974	1734092	1761907	10	1714347,1734025,1742031,1743161,1746595,1748713,1751596,1752042,1755330,1761695,	1714425,1734161,1742206,1743291,1746664,1748832,1751680,1752183,1755453,1761974,	1714347	1761974	1000
ASMT	NM_004043	chrY	+	1664347	1711974	1684092	1711907	10	1664347,1684025,1692031,1693161,1696595,1698713,1701596,1702042,1705330,1711695,	1664425,1684161,1692206,1693291,1696664,1698832,1701680,1702183,1705453,1711974,	1664347	1711974	1000
TP53TG3B	NM_001099687	chr16	-	32684848	32687450	32685872	32687418	2	32684848,32687056,	32685885,32687450,	32684848	32687450	1000
TP53TG3B	NM_001099687	chr16	+	33205582	33208179	33205614	33207160	2	33205582,33207147,	33205976,33208179,	33205582	33208179	1000
TP53TG3B	NM_001099687	chr16	+	33262117	33264719	33262149	33263695	2	33262117,33263682,	33262511,33264719,	33262117	33264719	1000
CSF2RA	NM_001161529	chrY	+	1337692	1378828	1351596	1378372	14	1337692,1343647,1351301,1351570,1354670,1357411,1357651,1359229,1363220,1364319,1369383,1372815,1374338,1378294,	1337772,1343711,1351453,1351672,1354813,1357535,1357781,1359402,1363354,1364349,1369519,1372912,1374420,1378828,	1337692	1378828	1000
CSF2RA	NM_001161530	chrY	+	1351570	1378828	1351596	1378372	12	1351570,1354670,1357411,1357651,1359229,1363220,1364319,1369383,1372153,1372815,1374338,1378294,	1351672,1354813,1357535,1357781,1359402,1363354,1364349,1369519,1372255,1372912,1374420,1378828,	1351570	1378828	1000
CSF2RA	NM_001161529	chrX	+	1387692	1428828	1401596	1428372	14	1387692,1393647,1401301,1401570,1404670,1407411,1407651,1409229,1413220,1414319,1419383,1422815,1424338,1428294,	1387772,1393711,1401453,1401672,1404813,1407535,1407781,1409402,1413354,1414349,1419519,1422912,1424420,1428828,	1387692	1428828	1000
CSF2RA	NM_001161531	chrX	+	1387692	1424711	1401596	1424628	13	1387692,1393647,1401570,1404670,1407411,1407651,1409229,1413220,1414319,1419383,1422815,1424338,1424520,	1387772,1393735,1401672,1404813,1407535,1407781,1409402,1413354,1414349,1419519,1422912,1424420,1424711,	1387692	1424711	1000
CSF2RA	NM_001161531	chrY	+	1337692	1374711	1351596	1374628	13	1337692,1343647,1351570,1354670,1357411,1357651,1359229,1363220,1364319,1369383,1372815,1374338,1374520,	1337772,1343735,1351672,1354813,1357535,1357781,1359402,1363354,1364349,1369519,1372912,1374420,1374711,	1337692	1374711	1000
CSF2RA	NM_001161530	chrX	+	1401570	1428828	1401596	1428372	12	1401570,1404670,1407411,1407651,1409229,1413220,1414319,1419383,1422153,1422815,1424338,1428294,	1401672,1404813,1407535,1407781,1409402,1413354,1414349,1419519,1422255,1422912,1424420,1428828,	1401570	1428828	1000
ARL17B	NM_001330240	chr17	-	44407027	44439153	44407935	44435763	4	44407027,44430185,44435615,44439041,	44407964,44430296,44435780,44439153,	44407027	44439153	1000
ARL17B	NM_001330240	chr17	-	44624889	44657078	44625797	44653688	4	44624889,44648124,44653540,44656966,	44625826,44648235,44653705,44657078,	44624889	44657078	1000
ARL17B	NM_001330240	chr17	-	45125774	45126718	45126687	45126718	1	45125774,	45126718,	45125774	45126718	1000
MIR4538	NR_130467	chr17	+	73997239	73997409	73997409	73997409	3	73997239,73997270,73997395,	73997257,73997273,73997409,	73997239	73997409	1000
P2RY8	NM_178129	chrX	-	1581465	1656037	1584371	1585451	2	1581465,1655813,	1585475,1656037,	1581465	1656037	1000
NPIPA8	NM_001349948	chr16	-	18411775	18429717	18411824	18426519	9	18411775,18413651,18413796,18414873,18417947,18418255,18421970,18426456,18428707,	18412292,18413687,18413857,18414981,18418092,18418355,18422099,18426588,18429717,	18411775	18429717	1000
XAGE1B	NM_001097605	chrX	+	52238962	52243953	52240503	52241224	4	52238962,52240457,52241126,52243843,	52239051,52240615,52241253,52243953,	52238962	52243953	1000
TBC1D3L	NM_001291459	chr17	+	36284002	36294915	36285544	36294600	14	36284002,36285543,36285778,36287147,36287669,36288193,36288630,36289993,36290585,36291419,36291898,36292427,36292897,36294031,	36284115,36285616,36285864,36287187,36287750,36288301,36288740,36290042,36290706,36291514,36291964,36292527,36293050,36294915,	36284002	36294915	1000
TBC1D3L	NM_001291459	chr17	-	36337710	36348623	36338025	36347081	14	36337710,36339575,36340098,36340661,36341111,36341919,36342583,36343885,36344324,36344875,36345438,36346761,36347009,36348510,	36338594,36339728,36340198,36340727,36341206,36342040,36342632,36343995,36344432,36344956,36345478,36346847,36347082,36348623,	36337710	36348623	1000
BMS1P2	NR_024495	chr10	-	47225570	47243511	47243511	47243511	9	47225570,47232155,47233530,47234377,47235420,47239292,47240645,47241731,47243466,	47229150,47232295,47233652,47234518,47235609,47239372,47240835,47241940,47243511,	47225570	47243511	1000
DHRSX	NM_145177	chrX	-	2137554	2419015	2139081	2418966	7	2137554,2161063,2184780,2209542,2326785,2343237,2418857,	2139270,2161271,2184988,2209644,2326854,2343345,2419015,	2137554	2419015	1000
DHRSX	NM_145177	chrY	-	2087554	2369015	2089081	2368966	7	2087554,2111063,2134780,2159542,2276785,2293237,2368857,	2089270,2111271,2134988,2159644,2276854,2293345,2369015,	2087554	2369015	1000
FAM231A	NM_001354554	chr1	+	16999497	17000007	16999497	17000007	1	16999497,	17000007,	16999497	17000007	1000
FAM231A	NM_001354554	chr1	-	17060446	17060956	17060446	17060956	1	17060446,	17060956,	17060446	17060956	1000
SSX2B	NM_001278702	chrX	+	52780280	52790617	52781757	52789521	9	52780280,52781737,52782264,52782914,52784876,52786930,52788577,52789420,52789990,	52780395,52781826,52782379,52783010,52784926,52787066,52788655,52789525,52790617,	52780280	52790617	1000
SSX2B	NM_001278701	chrX	-	52725945	52736276	52727078	52734799	9	52725945,52727033,52727835,52729492,52731630,52733546,52734177,52734730,52736161,	52726568,52727138,52727981,52729628,52731680,52733642,52734292,52734819,52736276,	52725945	52736276	1000
SSX2B	NM_001278701	chrX	+	52780280	52790617	52781757	52789480	9	52780280,52781737,52782264,52782914,52784876,52786930,52788577,52789420,52789990,	52780395,52781826,52782379,52783010,52784926,52787066,52788723,52789525,52790617,	52780280	52790617	1000
XAGE1B	NM_001097605	chrX	-	52528159	52533150	52530888	52531609	4	52528159,52530859,52531497,52533061,	52528269,52530986,52531655,52533150,	52528159	52533150	1000
XAGE1B	NM_001097605	chrX	-	52541053	52546044	52543782	52544503	4	52541053,52543753,52544391,52545955,	52541163,52543880,52544549,52546044,	52541053	52546044	1000
MIR1302-2	NR_036051	chr19	+	71972	72110	72110	72110	1	71972,	72110,	71972	72110	1000
MIR1302-9	NR_036266	chr19	+	71972	72110	72110	72110	1	71972,	72110,	71972	72110	1000
MIR1302-10	NR_036267	chr19	+	71972	72110	72110	72110	1	71972,	72110,	71972	72110	1000
MIR1302-11	NR_036268	chr19	+	71972	72110	72110	72110	1	71972,	72110,	71972	72110	1000
FAM138A	NR_026818	chr19	-	76219	77690	77690	77690	3	76219,76885,77329,	76783,77090,77690,	76219	77690	1000
FAM138F	NR_026820	chr19	-	76219	77690	77690	77690	3	76219,76885,77329,	76783,77090,77690,	76219	77690	1000
